Client Id|Transaction Type|Transaction Date|Priority|Processing Fee
AP|BUY|2013-11-03|Y|50
AP|DEPOSIT|2013-11-06|Y|50
AP|BUY|2013-11-09|Y|50
AP|BUY|2013-11-12|Y|50
AP|DEPOSIT|2013-11-19|Y|50
AP|SELL|2013-11-25|Y|100
AS|DEPOSIT|2013-11-02|N|50
AS|BUY|2013-11-06|N|50
AS|SELL|2013-11-07|N|100
AS|SELL|2013-11-10|N|100
AS|SELL|2013-11-13|N|100
AS|SELL|2013-11-20|N|100
GS|WITHDRAW|2013-11-01|Y|100
GS|WITHDRAW|2013-11-05|Y|100
GS|BUY|2013-11-08|Y|50
GS|DEPOSIT|2013-11-11|Y|50
GS|BUY|2013-11-23|Y|50
GS|WITHDRAW|2013-11-26|Y|100
HJ|SELL|2013-11-04|N|100
HJ|WITHDRAW|2013-11-30|N|100
